===== Skyline Algorithm Result =====
Container Width: 2048
Minimum Height: -1
Item Placement:
Item 1: (original w=16, h=8) → placed at (x=0, y=0), rotated=No
Item 2: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 3: (original w=16, h=8) → placed at (x=0, y=0), rotated=No
Item 4: (original w=48, h=32) → placed at (x=0, y=0), rotated=No
Item 5: (original w=512, h=512) → placed at (x=0, y=0), rotated=No
Item 6: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 7: (original w=128, h=256) → placed at (x=0, y=0), rotated=No
Item 8: (original w=64, h=64) → placed at (x=0, y=0), rotated=No
Item 9: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 10: (original w=256, h=256) → placed at (x=0, y=0), rotated=No
Item 11: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 12: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 13: (original w=64, h=128) → placed at (x=0, y=0), rotated=No
Item 14: (original w=64, h=64) → placed at (x=0, y=0), rotated=No
Item 15: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 16: (original w=128, h=128) → placed at (x=0, y=0), rotated=No
Item 17: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 18: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 19: (original w=112, h=32) → placed at (x=0, y=0), rotated=No
Item 20: (original w=80, h=48) → placed at (x=0, y=0), rotated=No
Item 21: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 22: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 23: (original w=16, h=32) → placed at (x=0, y=0), rotated=No
Item 24: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 25: (original w=512, h=256) → placed at (x=0, y=0), rotated=No
Item 26: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 27: (original w=128, h=128) → placed at (x=0, y=0), rotated=No
Item 28: (original w=32, h=64) → placed at (x=0, y=0), rotated=No
Item 29: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 30: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 31: (original w=128, h=128) → placed at (x=0, y=0), rotated=No
Item 32: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 33: (original w=16, h=16) → placed at (x=0, y=0), rotated=No
Item 34: (original w=64, h=128) → placed at (x=0, y=0), rotated=No
Item 35: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 36: (original w=64, h=64) → placed at (x=0, y=0), rotated=No
Item 37: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 38: (original w=512, h=512) → placed at (x=0, y=0), rotated=No
Item 39: (original w=32, h=64) → placed at (x=0, y=0), rotated=No
Item 40: (original w=64, h=128) → placed at (x=0, y=0), rotated=No
Item 41: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 42: (original w=512, h=256) → placed at (x=0, y=0), rotated=No
Item 43: (original w=48, h=48) → placed at (x=0, y=0), rotated=No
Item 44: (original w=8, h=16) → placed at (x=0, y=0), rotated=No
Item 45: (original w=512, h=512) → placed at (x=0, y=0), rotated=No
Item 46: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 47: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 48: (original w=48, h=64) → placed at (x=0, y=0), rotated=No
Item 49: (original w=128, h=256) → placed at (x=0, y=0), rotated=No
Item 50: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 51: (original w=512, h=512) → placed at (x=0, y=0), rotated=No
Item 52: (original w=32, h=80) → placed at (x=0, y=0), rotated=No
Item 53: (original w=16, h=8) → placed at (x=0, y=0), rotated=No
Item 54: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 55: (original w=64, h=64) → placed at (x=0, y=0), rotated=No
Item 56: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 57: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 58: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 59: (original w=128, h=128) → placed at (x=0, y=0), rotated=No
Item 60: (original w=512, h=512) → placed at (x=0, y=0), rotated=No
Item 61: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 62: (original w=64, h=64) → placed at (x=0, y=0), rotated=No
Item 63: (original w=64, h=128) → placed at (x=0, y=0), rotated=No
Item 64: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 65: (original w=256, h=512) → placed at (x=0, y=0), rotated=No
Item 66: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 67: (original w=256, h=256) → placed at (x=0, y=0), rotated=No
Item 68: (original w=256, h=256) → placed at (x=0, y=0), rotated=No
Item 69: (original w=256, h=512) → placed at (x=0, y=0), rotated=No
Item 70: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 71: (original w=64, h=64) → placed at (x=0, y=0), rotated=No
Item 72: (original w=8, h=16) → placed at (x=0, y=0), rotated=No
Item 73: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 74: (original w=512, h=512) → placed at (x=0, y=0), rotated=No
Item 75: (original w=32, h=64) → placed at (x=0, y=0), rotated=No
Item 76: (original w=512, h=256) → placed at (x=0, y=0), rotated=No
Item 77: (original w=96, h=32) → placed at (x=0, y=0), rotated=No
Item 78: (original w=128, h=128) → placed at (x=0, y=0), rotated=No
Item 79: (original w=8, h=16) → placed at (x=0, y=0), rotated=No
Item 80: (original w=16, h=16) → placed at (x=0, y=0), rotated=No
Item 81: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 82: (original w=128, h=128) → placed at (x=0, y=0), rotated=No
Item 83: (original w=112, h=64) → placed at (x=0, y=0), rotated=No
Item 84: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 85: (original w=16, h=32) → placed at (x=0, y=0), rotated=No
Item 86: (original w=128, h=128) → placed at (x=0, y=0), rotated=No
Item 87: (original w=32, h=32) → placed at (x=0, y=0), rotated=No
Item 88: (original w=32, h=64) → placed at (x=0, y=0), rotated=No
Item 89: (original w=16, h=32) → placed at (x=0, y=0), rotated=No
Item 90: (original w=256, h=256) → placed at (x=0, y=0), rotated=No
Item 91: (original w=32, h=64) → placed at (x=0, y=0), rotated=No
Item 92: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 93: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 94: (original w=48, h=64) → placed at (x=0, y=0), rotated=No
Item 95: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 96: (original w=512, h=256) → placed at (x=0, y=0), rotated=No
