===== Skyline Algorithm Result =====
Container Width: 2048
Minimum Height: -1
Item Placement:
Item 1: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 2: (original w=16, h=8) → placed at (x=0, y=0), rotated=No
Item 3: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 4: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 5: (original w=128, h=512) → placed at (x=0, y=0), rotated=No
Item 6: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 7: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 8: (original w=8, h=512) → placed at (x=0, y=0), rotated=No
Item 9: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 10: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 11: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 12: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 13: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 14: (original w=16, h=512) → placed at (x=0, y=0), rotated=No
Item 15: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 16: (original w=64, h=256) → placed at (x=0, y=0), rotated=No
Item 17: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 18: (original w=512, h=256) → placed at (x=0, y=0), rotated=No
Item 19: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 20: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 21: (original w=32, h=64) → placed at (x=0, y=0), rotated=No
Item 22: (original w=16, h=8) → placed at (x=0, y=0), rotated=No
Item 23: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 24: (original w=16, h=512) → placed at (x=0, y=0), rotated=No
Item 25: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 26: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 27: (original w=256, h=64) → placed at (x=0, y=0), rotated=No
Item 28: (original w=256, h=16) → placed at (x=0, y=0), rotated=No
Item 29: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 30: (original w=32, h=256) → placed at (x=0, y=0), rotated=No
Item 31: (original w=8, h=32) → placed at (x=0, y=0), rotated=No
Item 32: (original w=64, h=128) → placed at (x=0, y=0), rotated=No
Item 33: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 34: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 35: (original w=16, h=8) → placed at (x=0, y=0), rotated=No
Item 36: (original w=64, h=256) → placed at (x=0, y=0), rotated=No
Item 37: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 38: (original w=512, h=64) → placed at (x=0, y=0), rotated=No
Item 39: (original w=512, h=8) → placed at (x=0, y=0), rotated=No
Item 40: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 41: (original w=8, h=512) → placed at (x=0, y=0), rotated=No
Item 42: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 43: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 44: (original w=32, h=256) → placed at (x=0, y=0), rotated=No
Item 45: (original w=32, h=64) → placed at (x=0, y=0), rotated=No
Item 46: (original w=8, h=32) → placed at (x=0, y=0), rotated=No
Item 47: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 48: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 49: (original w=16, h=32) → placed at (x=0, y=0), rotated=No
Item 50: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 51: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 52: (original w=8, h=16) → placed at (x=0, y=0), rotated=No
Item 53: (original w=16, h=8) → placed at (x=0, y=0), rotated=No
Item 54: (original w=32, h=16) → placed at (x=0, y=0), rotated=No
Item 55: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 56: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 57: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 58: (original w=128, h=64) → placed at (x=0, y=0), rotated=No
Item 59: (original w=512, h=8) → placed at (x=0, y=0), rotated=No
Item 60: (original w=128, h=16) → placed at (x=0, y=0), rotated=No
Item 61: (original w=128, h=32) → placed at (x=0, y=0), rotated=No
Item 62: (original w=64, h=32) → placed at (x=0, y=0), rotated=No
Item 63: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 64: (original w=8, h=8) → placed at (x=0, y=0), rotated=No
Item 65: (original w=256, h=128) → placed at (x=0, y=0), rotated=No
Item 66: (original w=512, h=256) → placed at (x=0, y=0), rotated=No
